game,age,percentage_correct_responses,commision_errors,omission_errors,mean_reaction_time,total_duration,no_of_records,total_records
Alternating,4,91.86602871,2.090909091,1.545454545,1409.727273,57000,11,
Divided,4,79.54545455,2.727272727,1.636363636,1203.363636,70000,11,
Sustained,4,87.81652922,0,1.875,1410.625,104740.25,8,
Focused,4,93.07692308,0,0.692307692,1416.346154,73807.69231,26,
Selective,4,93.46320346,0.290909091,0.454545455,0,12729.12727,55,111
Alternating,5,93.30143541,3.363636364,1.272727273,1236.909091,57000,11,
Divided,5,75,2.444444444,2,1130.666667,60000,9,
Sustained,5,85.91596639,0,1.4,1081,98201,5,
Focused,5,96.15384615,0,0.461538462,1432.384615,89173.07692,26,
Selective,5,95.5026455,0.240740741,0.277777778,0,13206.27778,54,105
